Company,Pizza Name,Type,Size,Price
Pizza Hut,Old Fashioned Meatbrawl™ (Pan Pizza),New Recipe Pizzas,Personal,$4.79
Pizza Hut,Old Fashioned Meatbrawl™ (Pan Pizza),New Recipe Pizzas,Medium,$12.49
Pizza Hut,Old Fashioned Meatbrawl™ (Pan Pizza),New Recipe Pizzas,Large,$15.49
Pizza Hut,Cock-a-doodle Bacon™ (Hand-Tossed),New Recipe Pizzas,Medium,$12.49
Pizza Hut,Cock-a-doodle Bacon™ (Hand-Tossed),New Recipe Pizzas,Large,$15.49
Pizza Hut,Hot and Twisted™ (Hand-Tossed),New Recipe Pizzas,Medium,$12.49
Pizza Hut,Hot and Twisted™ (Hand-Tossed),New Recipe Pizzas,Large,$15.49
Pizza Hut,Pretzel Piggy™ (Hand-Tossed),New Recipe Pizzas,Medium,$12.49
Pizza Hut,Pretzel Piggy™ (Hand-Tossed),New Recipe Pizzas,Large,$15.49
Pizza Hut,BBQ Bacon Cheeseburger (Hand-Tossed),New Recipe Pizzas,Medium,$12.49
Pizza Hut,BBQ Bacon Cheeseburger (Hand-Tossed),New Recipe Pizzas,Large,$15.49
Pizza Hut,Giddy-Up BBQ Chicken™ (Hand-Tossed),New Recipe Pizzas,Medium,$12.49
Pizza Hut,Giddy-Up BBQ Chicken™ (Hand-Tossed),New Recipe Pizzas,Large,$15.49
Pizza Hut,Buffalo State of Mind™ (Hand-Tossed),New Recipe Pizzas,Medium,$12.49
Pizza Hut,Buffalo State of Mind™ (Hand-Tossed),New Recipe Pizzas,Large,$15.49
Pizza Hut,Cherry Pepper Bombshell™ (Thin N Crispy),New Recipe Pizzas,Medium,$12.49
Pizza Hut,Cherry Pepper Bombshell™ (Thin N Crispy),New Recipe Pizzas,Large,$15.49
Pizza Hut,7-Alarm Fire™ (Hand-Tossed),New Recipe Pizzas,Medium,$12.49
Pizza Hut,7-Alarm Fire™ (Hand-Tossed),New Recipe Pizzas,Large,$15.49
Pizza Hut,Skinny Beach™ (Skinny Slice),Skinny Pizzas,Large,$15.49
Pizza Hut,Skinny With A Kick™ (Skinny Slice),Skinny Pizzas,Large,$15.49
Pizza Hut,Skinny Italy (Skinny Slice),Skinny Pizzas,Large,$15.49
Pizza Hut,Skinny Luau™ (Skinny Slice),Skinny Pizzas,Large,$15.49
Pizza Hut,Skinny Club™ (Skinny Slice),Skinny Pizzas,Large,$15.49
Pizza Hut,Create Your Own (Gluten-Free Crust),Gluten-Free Pizzas,Small,$9.99
Godfather's Pizza,Cheese (Original Crust),Cheese Pizza,Mini,$4.99
Godfather's Pizza,Cheese (Original or Golden Crust),Cheese Pizza,Small,$10.99
Godfather's Pizza,"Cheese (Original, Golden or Thin Crust)",Cheese Pizza,Medium,$12.99
Godfather's Pizza,Cheese (Mozza-Loaded Crust),Cheese Pizza,Medium,$13.49
Godfather's Pizza,"Cheese (Original, Golden or Thin Crust)",Cheese Pizza,Large,$15.99
Godfather's Pizza,Cheese (Mozza-Loaded Crust),Cheese Pizza,Large,$16.49
Godfather's Pizza,Cheese (Original or Thin Crust),Cheese Pizza,Jumbo,$18.99
Godfather's Pizza,All-Meat Combo Pizza (Original Crust),Specialty Pizzas,Mini,$5.99
Godfather's Pizza,All-Meat Combo Pizza (Original or Golden Crust),Specialty Pizzas,Small,$15.99
Godfather's Pizza,"All-Meat Combo Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Medium,$19.99
Godfather's Pizza,All-Meat Combo Pizza (Mozza-Loaded Crust),Specialty Pizzas,Medium,$22.24
Godfather's Pizza,"All-Meat Combo Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Large,$23.99
Godfather's Pizza,All-Meat Combo Pizza (Mozza-Loaded Crust),Specialty Pizzas,Large,$27.99
Godfather's Pizza,Bacon Cheeseburger Pizza (Original Crust),Specialty Pizzas,Mini,$5.99
